//First Small Instance: 
Params = <4,4,7,2,2>;
Workers = { 
<1,0>,
<2,3>
};
Ops = { 
<1,1,1>,
<2,1,2>,
<3,1,3>,
<4,1,4>,
<5,1,5>,
<6,1,6>,
<9,1,7>,
<10,1,8>,
<11,1,9>,
<12,1,10>,
<13,2,1>,
<14,2,2>,
<15,2,3>,
<16,2,4>,
<17,2,5>,
<19,2,6>,
<23,2,7>,
<24,2,8>,
<25,3,1>,
<26,3,2>,
<27,3,3>,
<28,3,4>,
<29,3,5>,
<30,3,6>,
<31,3,7>,
<33,3,8>,
<34,3,9>,
<36,3,10>,
<37,4,1>,
<38,4,2>,
<39,4,3>,
<40,4,4>,
<41,4,5>,
<44,4,6>,
<46,4,7>,
<47,4,8>,
<48,4,9>
 };
Modes = { 
<1,1,5,1>,
<1,1,5,2>,
<1,2,5,1>,
<1,2,5,2>,
<2,3,8,2>,
<3,4,4,2>,
<3,5,4,2>,
<4,6,8,2>,
<4,7,8,2>,
<5,1,2,1>,
<5,1,2,2>,
<5,2,2,1>,
<5,2,2,2>,
<6,3,9,2>,
<9,1,7,1>,
<9,1,7,2>,
<9,2,7,1>,
<9,2,7,2>,
<10,3,10,2>,
<11,4,8,2>,
<11,5,8,2>,
<12,6,2,2>,
<12,7,2,2>,
<13,1,10,1>,
<13,1,10,2>,
<13,2,10,1>,
<13,2,10,2>,
<14,3,8,2>,
<15,4,4,2>,
<15,5,4,2>,
<16,6,6,2>,
<16,7,6,2>,
<17,1,7,1>,
<17,1,7,2>,
<17,2,7,1>,
<17,2,7,2>,
<19,4,1,2>,
<19,5,1,2>,
<23,4,1,2>,
<23,5,1,2>,
<24,6,3,2>,
<24,7,3,2>,
<25,1,5,1>,
<25,1,5,2>,
<25,2,5,1>,
<25,2,5,2>,
<26,3,4,2>,
<27,4,9,2>,
<27,5,9,2>,
<28,6,1,2>,
<28,7,1,2>,
<29,1,7,1>,
<29,1,7,2>,
<29,2,7,1>,
<29,2,7,2>,
<30,3,7,2>,
<31,4,6,2>,
<31,5,6,2>,
<33,1,5,1>,
<33,1,5,2>,
<33,2,5,1>,
<33,2,5,2>,
<34,3,1,2>,
<36,6,7,2>,
<36,7,7,2>,
<37,1,2,1>,
<37,1,2,2>,
<37,2,2,1>,
<37,2,2,2>,
<38,3,4,2>,
<39,4,10,2>,
<39,5,10,2>,
<40,6,6,2>,
<40,7,6,2>,
<41,1,6,1>,
<41,1,6,2>,
<41,2,6,1>,
<41,2,6,2>,
<44,6,1,2>,
<44,7,1,2>,
<46,3,10,2>,
<47,4,2,2>,
<47,5,2,2>,
<48,6,5,2>,
<48,7,5,2>
 };
