//First Small Instance: 
Params = <5,3,6,3,1>;
Workers = { 
<1,2>,
<2,0>,
<3,2>
};
Ops = { 
<1,1,1>,
<2,1,2>,
<3,1,3>,
<4,1,4>,
<5,1,5>,
<6,1,6>,
<7,2,1>,
<8,2,2>,
<9,2,3>,
<10,2,4>,
<11,2,5>,
<12,2,6>,
<13,3,1>,
<14,3,2>,
<15,3,3>,
<16,3,4>,
<17,3,5>,
<19,4,1>,
<20,4,2>,
<21,4,3>,
<22,4,4>,
<25,5,1>,
<26,5,2>,
<27,5,3>,
<28,5,4>,
<29,5,5>
 };
Modes = { 
<1,1,7,1>,
<1,1,7,2>,
<1,1,7,3>,
<1,2,7,1>,
<1,2,7,2>,
<1,2,7,3>,
<2,3,1,1>,
<2,3,1,3>,
<2,4,1,1>,
<2,4,1,3>,
<3,5,10,1>,
<3,5,10,3>,
<3,6,10,1>,
<3,6,10,3>,
<4,1,5,1>,
<4,1,5,2>,
<4,1,5,3>,
<4,2,5,1>,
<4,2,5,2>,
<4,2,5,3>,
<5,3,6,1>,
<5,3,6,3>,
<5,4,6,1>,
<5,4,6,3>,
<6,5,8,1>,
<6,5,8,3>,
<6,6,8,1>,
<6,6,8,3>,
<7,1,8,1>,
<7,1,8,2>,
<7,1,8,3>,
<7,2,8,1>,
<7,2,8,2>,
<7,2,8,3>,
<8,3,5,1>,
<8,3,5,3>,
<8,4,5,1>,
<8,4,5,3>,
<9,5,6,1>,
<9,5,6,3>,
<9,6,6,1>,
<9,6,6,3>,
<10,1,6,1>,
<10,1,6,2>,
<10,1,6,3>,
<10,2,6,1>,
<10,2,6,2>,
<10,2,6,3>,
<11,3,10,1>,
<11,3,10,3>,
<11,4,10,1>,
<11,4,10,3>,
<12,5,4,1>,
<12,5,4,3>,
<12,6,4,1>,
<12,6,4,3>,
<13,1,9,1>,
<13,1,9,2>,
<13,1,9,3>,
<13,2,9,1>,
<13,2,9,2>,
<13,2,9,3>,
<14,3,7,1>,
<14,3,7,3>,
<14,4,7,1>,
<14,4,7,3>,
<15,5,3,1>,
<15,5,3,3>,
<15,6,3,1>,
<15,6,3,3>,
<16,1,7,1>,
<16,1,7,2>,
<16,1,7,3>,
<16,2,7,1>,
<16,2,7,2>,
<16,2,7,3>,
<17,3,1,1>,
<17,3,1,3>,
<17,4,1,1>,
<17,4,1,3>,
<19,1,9,1>,
<19,1,9,2>,
<19,1,9,3>,
<19,2,9,1>,
<19,2,9,2>,
<19,2,9,3>,
<20,3,9,1>,
<20,3,9,3>,
<20,4,9,1>,
<20,4,9,3>,
<21,5,1,1>,
<21,5,1,3>,
<21,6,1,1>,
<21,6,1,3>,
<22,1,3,1>,
<22,1,3,2>,
<22,1,3,3>,
<22,2,3,1>,
<22,2,3,2>,
<22,2,3,3>,
<25,1,2,1>,
<25,1,2,2>,
<25,1,2,3>,
<25,2,2,1>,
<25,2,2,2>,
<25,2,2,3>,
<26,3,8,1>,
<26,3,8,3>,
<26,4,8,1>,
<26,4,8,3>,
<27,5,3,1>,
<27,5,3,3>,
<27,6,3,1>,
<27,6,3,3>,
<28,1,5,1>,
<28,1,5,2>,
<28,1,5,3>,
<28,2,5,1>,
<28,2,5,2>,
<28,2,5,3>,
<29,3,1,1>,
<29,3,1,3>,
<29,4,1,1>,
<29,4,1,3>
 };
