//First Small Instance: 
Params = <13,5,8,5,2>;
Workers = { 
<1,3>,
<2,2>,
<3,3>,
<4,1>,
<5,2>
};
Ops = { 
<1,1,1>,
<2,1,2>,
<3,1,3>,
<4,1,4>,
<5,1,5>,
<6,1,6>,
<8,1,7>,
<9,1,8>,
<11,1,9>,
<12,1,10>,
<13,1,11>,
<14,1,12>,
<15,1,13>,
<16,2,1>,
<17,2,2>,
<18,2,3>,
<19,2,4>,
<20,2,5>,
<21,2,6>,
<24,2,7>,
<25,2,8>,
<26,2,9>,
<27,2,10>,
<28,2,11>,
<29,2,12>,
<30,2,13>,
<31,3,1>,
<32,3,2>,
<33,3,3>,
<34,3,4>,
<35,3,5>,
<36,3,6>,
<40,3,7>,
<45,3,8>,
<46,4,1>,
<47,4,2>,
<48,4,3>,
<49,4,4>,
<50,4,5>,
<51,4,6>,
<52,4,7>,
<53,4,8>,
<56,4,9>,
<57,4,10>,
<58,4,11>,
<60,4,12>,
<61,5,1>,
<62,5,2>,
<63,5,3>,
<64,5,4>,
<65,5,5>,
<66,5,6>,
<67,5,7>,
<68,5,8>,
<70,5,9>,
<72,5,10>,
<74,5,11>,
<76,6,1>,
<77,6,2>,
<78,6,3>,
<79,6,4>,
<80,6,5>,
<81,6,6>,
<90,6,7>,
<91,7,1>,
<92,7,2>,
<93,7,3>,
<94,7,4>,
<95,7,5>,
<96,7,6>,
<97,7,7>,
<105,7,8>,
<106,8,1>,
<107,8,2>,
<108,8,3>,
<109,8,4>,
<110,8,5>,
<111,8,6>,
<112,8,7>,
<113,8,8>,
<114,8,9>,
<115,8,10>,
<117,8,11>,
<119,8,12>,
<120,8,13>,
<121,9,1>,
<122,9,2>,
<123,9,3>,
<124,9,4>,
<125,9,5>,
<126,9,6>,
<127,9,7>,
<128,9,8>,
<131,9,9>,
<132,9,10>,
<135,9,11>,
<136,10,1>,
<137,10,2>,
<138,10,3>,
<139,10,4>,
<140,10,5>,
<141,10,6>,
<143,10,7>,
