//First Small Instance: 
Params = <11,5,8,5,1>;
Workers = { 
<1,3>,
<2,3>,
<3,1>,
<4,1>,
<5,1>
};
Ops = { 
<1,1,1>,
<2,1,2>,
<3,1,3>,
<4,1,4>,
<5,1,5>,
<6,1,6>,
<7,1,7>,
<8,1,8>,
<9,1,9>,
<11,2,1>,
<12,2,2>,
<13,2,3>,
<14,2,4>,
<15,2,5>,
<16,2,6>,
<17,2,7>,
<21,3,1>,
<22,3,2>,
<23,3,3>,
<24,3,4>,
<25,3,5>,
<26,3,6>,
<27,3,7>,
<30,3,8>,
<31,4,1>,
<32,4,2>,
<33,4,3>,
<34,4,4>,
<35,4,5>,
<36,4,6>,
<38,4,7>,
<41,5,1>,
<42,5,2>,
<43,5,3>,
<44,5,4>,
<45,5,5>,
<46,5,6>,
<47,5,7>,
<48,5,8>,
<50,5,9>,
<51,6,1>,
<52,6,2>,
<53,6,3>,
<54,6,4>,
<55,6,5>,
<56,6,6>,
<58,6,7>,
<59,6,8>,
<60,6,9>,
<61,7,1>,
<62,7,2>,
<63,7,3>,
<64,7,4>,
<65,7,5>,
<66,7,6>,
<69,7,7>,
<71,8,1>,
<72,8,2>,
<73,8,3>,
<74,8,4>,
<75,8,5>,
<76,8,6>,
<81,9,1>,
<82,9,2>,
<83,9,3>,
<84,9,4>,
<85,9,5>,
<86,9,6>,
<87,9,7>,
<88,9,8>,
<90,9,9>,
<91,10,1>,
<92,10,2>,
<93,10,3>,
<94,10,4>,
<95,10,5>,
<96,10,6>,
<97,10,7>,
<101,11,1>,
<102,11,2>,
<103,11,3>,
<104,11,4>,
<105,11,5>,
<106,11,6>,
<107,11,7>,
<108,11,8>,
<109,11,9>
 };
Modes = { 
<1,1,7,3>,
<1,1,7,5>,
<2,2,9,1>,
<2,2,9,2>,
<2,2,9,5>,
<2,3,9,1>,
<2,3,9,2>,
<2,3,9,5>,
<3,4,7,1>,
<3,4,7,4>,
<3,5,7,1>,
<3,5,7,4>,
