//First Small Instance: 
Params = <20,10,14,9,2>;
Workers = { 
<1,6>,
<2,3>,
<3,5>,
<4,2>,
<5,5>,
<6,5>,
<7,7>,
<8,6>,
<9,6>
};
Ops = { 
<1,1,1>,
<2,1,2>,
<3,1,3>,
<4,1,4>,
<5,1,5>,
<6,1,6>,
<7,1,7>,
<8,1,8>,
<9,1,9>,
<10,1,10>,
<11,1,11>,
<12,1,12>,
<13,1,13>,
<18,1,14>,
<19,1,15>,
<20,1,16>,
<21,1,17>,
<23,1,18>,
<25,1,19>,
<26,1,20>,
<28,1,21>,
<31,2,1>,
<32,2,2>,
<33,2,3>,
<34,2,4>,
<35,2,5>,
<36,2,6>,
<37,2,7>,
<38,2,8>,
<39,2,9>,
<40,2,10>,
<41,2,11>,
<42,2,12>,
<46,2,13>,
<47,2,14>,
<48,2,15>,
<50,2,16>,
<51,2,17>,
<53,2,18>,
<55,2,19>,
<56,2,20>,
<60,2,21>,
<61,3,1>,
<62,3,2>,
<63,3,3>,
<64,3,4>,
<65,3,5>,
<66,3,6>,
<67,3,7>,
<68,3,8>,
<69,3,9>,
<70,3,10>,
<71,3,11>,
<72,3,12>,
<74,3,13>,
<75,3,14>,
<77,3,15>,
<79,3,16>,
<80,3,17>,
<83,3,18>,
<85,3,19>,
<88,3,20>,
<91,4,1>,
<92,4,2>,
<93,4,3>,
<94,4,4>,
<95,4,5>,
<96,4,6>,
<97,4,7>,
<98,4,8>,
<99,4,9>,
<100,4,10>,
<101,4,11>,
<102,4,12>,
<103,4,13>,
<106,4,14>,
<108,4,15>,
<109,4,16>,
<112,4,17>,
<116,4,18>,
<119,4,19>,
<121,5,1>,
<122,5,2>,
<123,5,3>,
<124,5,4>,
<125,5,5>,
<126,5,6>,
<127,5,7>,
<128,5,8>,
<129,5,9>,
<130,5,10>,
<131,5,11>,
<132,5,12>,
<136,5,13>,
<141,5,14>,
<142,5,15>,
<143,5,16>,
<144,5,17>,
<150,5,18>,
<151,6,1>,
