//First Small Instance: 
Params = <5,4,6,3,1>;
Workers = { 
<1,2>,
<2,3>,
<3,1>
};
Ops = { 
<1,1,1>,
<2,1,2>,
<3,1,3>,
<4,1,4>,
<5,1,5>,
<6,1,6>,
<9,2,1>,
<10,2,2>,
<11,2,3>,
<12,2,4>,
<13,2,5>,
<17,3,1>,
<18,3,2>,
<19,3,3>,
<20,3,4>,
<21,3,5>,
<22,3,6>,
<23,3,7>,
<24,3,8>,
<25,4,1>,
<26,4,2>,
<27,4,3>,
<28,4,4>,
<29,4,5>,
<30,4,6>,
<31,4,7>,
<32,4,8>,
<33,5,1>,
<34,5,2>,
<35,5,3>,
<36,5,4>,
<37,5,5>,
<39,5,6>
 };
Modes = { 
<1,1,5,1>,
<1,1,5,3>,
<1,2,5,1>,
<1,2,5,3>,
<2,3,9,1>,
<2,3,9,2>,
<3,4,5,1>,
<3,4,5,2>,
<3,4,5,3>,
<4,5,6,2>,
<4,6,6,2>,
<5,1,2,1>,
<5,1,2,3>,
<5,2,2,1>,
<5,2,2,3>,
<6,3,9,1>,
<6,3,9,2>,
<9,1,10,1>,
<9,1,10,3>,
<9,2,10,1>,
<9,2,10,3>,
<10,3,2,1>,
<10,3,2,2>,
<11,4,2,1>,
<11,4,2,2>,
<11,4,2,3>,
<12,5,3,2>,
<12,6,3,2>,
<13,1,6,1>,
<13,1,6,3>,
<13,2,6,1>,
<13,2,6,3>,
<17,1,9,1>,
<17,1,9,3>,
<17,2,9,1>,
<17,2,9,3>,
<18,3,4,1>,
<18,3,4,2>,
<19,4,8,1>,
<19,4,8,2>,
<19,4,8,3>,
<20,5,7,2>,
<20,6,7,2>,
<21,1,8,1>,
<21,1,8,3>,
<21,2,8,1>,
<21,2,8,3>,
<22,3,3,1>,
<22,3,3,2>,
<23,4,7,1>,
<23,4,7,2>,
<23,4,7,3>,
<24,5,6,2>,
<24,6,6,2>,
<25,1,4,1>,
<25,1,4,3>,
<25,2,4,1>,
<25,2,4,3>,
<26,3,1,1>,
<26,3,1,2>,
<27,4,7,1>,
<27,4,7,2>,
<27,4,7,3>,
<28,5,1,2>,
<28,6,1,2>,
<29,1,7,1>,
<29,1,7,3>,
<29,2,7,1>,
<29,2,7,3>,
<30,3,7,1>,
<30,3,7,2>,
<31,4,1,1>,
<31,4,1,2>,
<31,4,1,3>,
<32,5,4,2>,
<32,6,4,2>,
<33,1,7,1>,
<33,1,7,3>,
<33,2,7,1>,
<33,2,7,3>,
<34,3,3,1>,
<34,3,3,2>,
<35,4,10,1>,
<35,4,10,2>,
<35,4,10,3>,
<36,5,6,2>,
<36,6,6,2>,
<37,1,2,1>,
<37,1,2,3>,
<37,2,2,1>,
<37,2,2,3>,
<39,4,6,1>,
<39,4,6,2>,
<39,4,6,3>
 };
